Title,Assigned Topic,Topic Keywords
Whats the best way to isolate an Llm?,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
"This is why i hate Gemini, just asked to replace 10.0.0.21 to localost",Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
Could AI break all our encryption?,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
Is there a business in installing Local LLMs?,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
"Blind Chat - OS privacy-first ChatGPT alternative, running fully in-browser",Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
Why we need to run AI on our own computers.,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Section 4.6 of the executive order is what we need to know about.,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
TCO Calculator to compare cost of local deployment vs SaaS solutions,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
Local Phi-1.5 running fully in browser for privacy with open-source project BlindChat,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
flan T5-Large just gives the context as the response,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
"With half a TB of ram and 8x 1080s, what’s the best unsafe coding model?",Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
Moore Threads MTT S4000 48GB AI GPU: with MTLink and zero-cost NVIDIA CUDA framework,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
How Do We Evaluate/Test Open Source Models for Cyber-Safety?,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Intro to Large Language Models | Andrew Karpathy | Summary,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Locally-hosted Offline LLM for past threat intelligence usage,Topic 4,"llm, finetuning, source, open, inference, etc, hallucination, comparing, tuned, vicuna"
LLM trained on code memorizes 8% of the training set and could expose code used for training,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
"CodeLLama 70B pontificates on ethics where 13B and 7B ""just do it""",Topic 4,"llm, finetuning, source, open, inference, etc, hallucination, comparing, tuned, vicuna"
What's the largest existing LLM that an individual can feasibly run privately?,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
Why LocalLLaMa when GPT-4 exists?,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
🦙 How To: Build Chatbot that knows your company's documents,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
The Dark Side of AI Censorship,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
"🚀 Completely Local RAG with Ollama Web UI, in Two Docker Commands!",Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
"Please enlighten me, why are people building LLM Twitter bots?",Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Is llama actually more expensive than GPT,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Ai for code documentation errors?,Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
Build my own version of HackerGPT,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
"Local LLM to learn, explore and use for commercial purpose",Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
Encourage Your Workplace to Host its Own LLMs,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
Llama 2 70b how to run,Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
M1/M2/M3: increase VRAM allocation with `sudo sysctl iogpu.wired_limit_mb=12345` (i.e. amount in mb to allocate),Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
"Good, cheap cloud providers for llm work",Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Is renting GPUs only possible because we still don't have a killer open source model?,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Looking for Python script to deploy custom LLM in Azure,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
How do you compare 100s of documents with a local LLM?,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
Is there a cloud gpu I can rent on an as needed basis?,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
Estimated time and effort to set up a local LLM at my company?,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
Need a scalable solution for running LLMs,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
"Neurochat: new Open-Source GUI for LLama.cpp, ChatGPT and free AI services",Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
A question about vision models (LLaVA),Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
LLM for audit logs,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
PHIND V7: Red Flags,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
Is the A6000 GPU slow for the 7B model on Runpod?,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
Fine tuning embeddings,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
LLM as a Service API,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
Any safety advice for a newbie?,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Has anyone developed a reliable SQL agent? ,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
Alright then keep your secrets,Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
Assessing llms for code generation.,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
Experience report: Phi2 context extension works well for summaries,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
"Let's say I have $6,000-8,000 for a new computer to run local llamas- what should I get?",Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
Method to block possible internet traffic from LLaMA on MacOS,Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
"future of foss llm's? foundational model = framework, fine tuning data = library",Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Waiting times for A100 hw?,Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
How do you get LLaMA to stop?,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
Google Cloud partners with Mistral AI on generative language models,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
LVE Project: First Open Source Repository of LLM Vulnerabilities,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Newb question about using llama for private data.,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
Several newb questions,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
Generative Agents now open-sourced.,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
Evaluate Your Own LLM using PromptBench,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Anyway to save your cloud GPU fine-tuned models to your local storage?,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Plot_BOT V3 13b GPTQ - a FULLY UNCENSORED plot crafting and writing assistant,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
"New benchmark by Stanford: HELM lite v1.0.0 including Narrative, Math, Legal, Medicine, Translation tasks",Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
"surprising enough apple doing some open sourcing stuff in Ai, did any one test apple ferrate till ?now?",Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
Running local LLM for info retrieval of technical documents,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
Model suggestions for coding + workflow?,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
Does labeling datasets stored in a Vector DB make sense?,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
"Guide: build llama.cpp on windows with AMD GPUs, and using ROCm",Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
OpenChat 3.2 SUPER is Here!,Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
Quick overview of price/preformance for text generation on different GPUs,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
[Demo App] Can we have an oss always-on assistant in 2024?,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
Generating JSON with self hosted LLM,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
The Milgram experiment as prompt injection in humans.,Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
Advantage of Local vs GPT4 for use case? Generating text in specific style based on examples,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Open Source LLM Crushes Rivals in GSAT English Test Showdown!,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
"Zephyr comes up with an original, impressive joke.",Topic 4,"llm, finetuning, source, open, inference, etc, hallucination, comparing, tuned, vicuna"
Starling won't stop spitting training data!,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
I wish there was a market for buying access to proprietary LLMs to run locally,Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
How do I run Stable Diffusion and LLMs from my PC on my mobile device? Offline and private ways?,Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
End to End Local Mistral-7b Finetune for AI Classics Assistant on Mac M2 Max,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
Open Source Wishlist,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
(New Model) Rift Coder 7B. Python & TypeScript Fine-Tuned Code Llama for IDE Use,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
LexPodLM-13B,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
"First timer building a new (to me) rig for LLM inference, fine-tuning, etc. Flame my choices, recommend me a different way, and any ideas on benchmarking 2x P40 vs 2x P100?",Topic 4,"llm, finetuning, source, open, inference, etc, hallucination, comparing, tuned, vicuna"
Train a local LLM on my files for use as a general-purpose chatbot,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
Persistent cloud computing setup to run different LLM models.,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Fireworks.ai Mixtral vs GPT-4 turbo,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Some Lessons Learned from Building a Fine Tuned Model + RAG Question Answering App,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
Minimal docker setup for CPU based oobabooga text gen,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Using GPU's on a Mac M2 Max via MLX: Update on Training Data Generation+Instruct+Fine-Tune Locally,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Here's a Docker image for 24GB GPU owners to run exui/exllamav2 for 34B models (and more).,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Mark Zuckerberg on upcoming LLaMA v2,Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
"AI Showdown: WizardLM Uncensored vs. Gpt4-x-vicuna, GPT-4 as the judge (test in comments)",Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
"AI Showdown: WizardLM 30b VS Guanaco 33b, GPT-4 as the judge (test in comments)",Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
"Comparing Image/Chart/Illustration Descriptions generated by GPT-4V, LLaVa, Owen-VL for RAG Pipelines",Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
"AI Showdown: Wizard Vicuna Uncensored VS Wizard Mega, GPT-4 as the judge (test in comments)",Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
"Adding keywords related to topic to LLM context improves performance, here's my prompt to generate them and some keywords for being a machine-learning engineer.",Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
WizardLM 7B vs Vicuan 13B (vs gpt-3.5-turbo) Comparison.,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
"Quick hardware comparison Ryzen 5700X, RTX 3090, Mac Studio M1",Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Comparing StableLM Tuned 7B and Vicuna 7B,Topic 4,"llm, finetuning, source, open, inference, etc, hallucination, comparing, tuned, vicuna"
🐺🐦‍⬛ LLM Prompt Format Comparison/Test: Mixtral 8x7B Instruct with **17** different instruct templates,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Dolphin's consistency reduced my question to absurdity -.-,Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
Question about data privacy,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
"I have created a Chrome extension to chatGPT with the page. It uses locallama, is free with 100% privacy, and open open-source",Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
Llama on Azure endpoint online and privacy,Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
can remote llms achieve zero-knowledge privacy?,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
Question about privacy on local models running on LM Studio,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
"Blind Chat - OS privacy-first ChatGPT alternative, running fully in-browser",Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
Local Phi-1.5 running fully in browser for privacy with open-source project BlindChat,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
"LLM cross-session privacy leak: “A Flaw in Millions of Apple, AMD, and Qualcomm GPUs Could Expose AI Data”",Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
"What is your motive for running open-source models, instead of just using a ready-made solution like GPT-4?",Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
Alright then keep your secrets,Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
Is there really no way you can run 70b models without having a very fast GPU or a lot of ram?,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
What's the most cost-efficient setup for trying out LLM (mistral / llama2 etc) finetuning and inference,Topic 4,"llm, finetuning, source, open, inference, etc, hallucination, comparing, tuned, vicuna"
Why are you guys running local LLMs?,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
GitHub Copilot vs CodeLlama & Co for Code productivity,Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
"People here say they use local LLMs for story telling, chat, etc., but what ""stories"" are they telling and in what applications? I imagine just building a PC rig to have a story-telling LLM is overkill. Am I missing something? Please let us know if you're using LLMs in a creative way!",Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
Can Agent-to-Agent communication be encrypted by said agents (not available to humans)?,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
Looking for the best cost/price mini(?)-pc for a local llm,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
"Besides curiosity, what do you use local LLMs for?",Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
🖥️🔮 Future Hardware Options for LLMs: Nvidia vs. Apple?,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Home LLM. Why?,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
"WikiChat: Stopping the Hallucination of Large Language Model Chatbots by Few-Shot Grounding on Wikipedia - Achieves 97.9% factual accuracy in conversations with human users about recent topics, 55.0% better than GPT-4! - Stanford University 2023",Topic 4,"llm, finetuning, source, open, inference, etc, hallucination, comparing, tuned, vicuna"
"Local LLM to learn, explore and use for commercial purpose",Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
Need advice on Strategys for Local Hosting,Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
What do you use local LLMs for? This time with examples.,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
I'm convinced now that “personal LLMs” are going to be a huge thing,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
"Dumb question, perhaps. How do I enable internet access for a locally run AI?",Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
Why LocalLLaMa when GPT-4 exists?,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
"What percent of your usage of LLMs are closed-source ones (GPT, Claude, etc.) and what percent are open source ones (Llama, Mistral, etc.)? Pick the answer that's closest to you.",Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
"Nearing Q4 23, what's the best web UI frontend?",Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Any other fun local AI tools other than ooba and automatic1111?,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
What's the best way to beat GPT-5 with Open Source & Distributed Compute?,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
"Llama2 is in practice much worse than ChatGPT, isn't it ?",Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
"A .gguf chatbot gradio interface experiment, to sequentially chain prompts, scripted in csv file : gpt-sequencer",Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
"EU Parliament approved the text of the AI Regulation Law (it is not applied yet, but we might be very near) - Which models should I hoard? Which are the best uncensored before the blackout?",Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
From a production standpoint which makes local LLM a better option?,Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
What's your main interest in running a local LLM instead of using an existing API?,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
Ollama cost-effectiveness versus OpenAI,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
How do you compare 100s of documents with a local LLM?,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
How have local LLMs helped your business?,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
Has anyone here done quant method benchmarking?,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
Advice on Open source LLM for pdf query aka Retrieval Augmented Generation,Topic 4,"llm, finetuning, source, open, inference, etc, hallucination, comparing, tuned, vicuna"
Best french model & stack for 3.5gpt like experience,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
LLM for audit logs,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
Finetuning Chat LLM (Llama2-chat): Data set best practices,Topic 4,"llm, finetuning, source, open, inference, etc, hallucination, comparing, tuned, vicuna"
Best LLM for legal analysis,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
"CodeLLama 70B pontificates on ethics where 13B and 7B ""just do it""",Topic 4,"llm, finetuning, source, open, inference, etc, hallucination, comparing, tuned, vicuna"
What are your suggestions on hosting LLama2 for an enterprise? [commercial],Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
LLM that answers questions based on documents,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
Any open source prompt Enhancing LLM projects?,Topic 4,"llm, finetuning, source, open, inference, etc, hallucination, comparing, tuned, vicuna"
"Newbie here, what laptop specs do I need to run more capable AIs ?",Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Multi-Client model Fine-tuning: One model or individual models for each client?,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
Seeking Assistance: Anonymized Datasets of Therapeutic Conversations,Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
My first real life test Gemini vs GPT-4. Am I surprised or shocked? :),Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
Why run LLMs locally?,Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
What attracted you to local LLMs?,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
Best option to get a model to answer question on a lot of selected book.,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
LVE Project: First Open Source Repository of LLM Vulnerabilities,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
What do you use your local llama for?,Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
Using local models for qualitative analysis,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
Addressing the Elephant in the Room,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
Are there any models recommended for legal writing?,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Mac Config vs Dual Machines,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
Mac users with Apple Silicon and 8GB ram - use GPT4all,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
"🚀 Completely Local RAG with Ollama Web UI, in Two Docker Commands!",Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
A Review: Using Llama 2 to Chat with Notes on Consumer Hardware,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
LLM trained on code memorizes 8% of the training set and could expose code used for training,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
Question about multiple sources with vector embeddings & local LLM.,Topic 4,"llm, finetuning, source, open, inference, etc, hallucination, comparing, tuned, vicuna"
LM Studio v0.2.11 Update Significantly Speeds Up Inference Running Server,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
Fine Tuning Style into LLMs,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Can I train Llama with my own PDF documents?,Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
Model suggestions for coding + workflow?,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
On RP and lore,Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
Seeking Advice: Building a High-Performance PC for AI Inference and Gaming,Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
Local VS Cloud?,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Local LLama vs other GPT local alternatives (like gpt4all),Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
LLMs in the middle: Content-aware browser filters for social media,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
My experience on starting with fine tuning LLMs with custom data,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Google Cloud partners with Mistral AI on generative language models,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Which model to use and which fine tuning to chat with a mail archive of 15 years?,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Local LLM chat agent with advanced RAG and memory,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
Llm Super Coach - Small fun project to use a local LLM to analyze one's diaries in various ways.,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
What are you favorite usecases / examples for CFG (classifier free guidance)?,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
"Currently, what are the practical applications of local language models?",Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
Method to block possible internet traffic from LLaMA on MacOS,Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
Advantage of Local vs GPT4 for use case? Generating text in specific style based on examples,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
Short guide to hosting your own llama.cpp openAI compatible web-server,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
7B models use with Langchainn for Chatbox importing of txt or pdf's,Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
"AgentOoba v0.1 - better UI, better contextualization, the beginnings of langchain integration and tools",Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
Self-hosted LLama2 in AI Code Assistant : Refact,Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
I wish there was a market for buying access to proprietary LLMs to run locally,Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
Fine-Tuning Language Models with Just Forward Passes,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Best open source LLM model for commercial use,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
Here is Gemini Advanced struggling with the famous Sally riddle,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
Validity of metrics,Topic 5,"llm, local, training, code, model, document, set, ai, mac, better"
Best approach to local LLMs for a journal?,Topic 0,"llm, open, model, source, ai, best, gpus, data, apple, gpt"
"Thanks everyone for help, currently i use what can i use",Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
Fine-tuned llama2-7b-lora vs chatGPT in a noble game of chess?,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
played some d&d with openhermes-2-mistral-7b then broke the 3rd wall,Topic 3,"llm, model, local, openai, best, gpu, agent, looking, costprice, minipc"
Help with LLM Stable Diffusion Prompt Generator,Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
HuggingChatAllInOne: Run HF and GPTQ models using HuggingChat UI easily,Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
🐺🐦‍⬛ LLM Comparison/Test: API Edition (GPT-4 vs. Gemini vs. Mistral vs. local LLMs),Topic 7,"v, llm, model, gpt, local, use, cloud, example, ai, language"
"""Successful"" Run of pygmalion-1.3b.q4_1 on 4gb Ram Acer Windows 10 Laptop",Topic 6,"llm, local, model, running, privacy, run, question, gpt, whats, ram"
"Adding keywords related to topic to LLM context improves performance, here's my prompt to generate them and some keywords for being a machine-learning engineer.",Topic 9,"llama, local, use, llm, keywords, commercial, prompt, docker, advice, ui"
What prompts can be used for text classification with LLMs,Topic 8,"llm, local, using, model, solution, opensource, way, use, chat, telling"
Analysis: Mixtral 34Bx2 MoE 60B vs. Copilot (GPT4) for in-context learning (chain-of-thought),Topic 1,"run, llm, ai, model, v, locally, security, code, access, llama"
The travelling LLaMa: Graph theory meets local LLM - another test of performance of local LLMs,Topic 2,"llm, llama, local, question, chat, running, alternative, best, chatgpt, using"
Comparing StableLM Tuned 7B and Vicuna 7B,Topic 4,"llm, finetuning, source, open, inference, etc, hallucination, comparing, tuned, vicuna"
